#  Band    State   TwistIndex BandIndex Energy      Kx      Ky      Kz      K1      K2      K3    KmK 
       0        0        0        0    -0.289466 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000      1
       1        1        0        1     0.031271 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000      1
       2        2        0        2     0.031273 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000      1
       3        3        0        3     0.031273 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000      1
       4        4        0        4     0.031274 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000      1
       5        5        0        5     0.031274 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000      1
       6        6        0        6     0.031274 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000      1
       7        7        0        7     0.265724 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000      1
       8        8        0        8     0.265725 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000      1
       9        9        0        9     0.265726 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000      1
      10       10        0       10     0.265726 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000      1
      11       11        0       11     0.265726 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000      1
      12       12        0       12     0.265727 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000      1
      13       13        0       13     0.502802 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000      1
      14       14        0       14     0.502802 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000      1
      15       15        0       15     0.502803 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000      1
      16       16        0       16     0.656421 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000      1
      17       17        0       17     0.656422 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000      1
      18       18        0       18     0.656422 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000      1
      19       19        0       19     0.656422 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000      1
