#  Lmax = 1 nonlocal L channels1
#  Units = bohr hartree 
#  r  -r*V/zeff   Vnl ... 
2.210000000000e-03       1.429801855334e-02       3.841749515031e+01
1.921000000000e-02       1.238981844256e-01       3.829572214824e+01
3.621000000000e-02       2.317085107818e-01       3.798242100876e+01
5.321000000000e-02       3.362666019565e-01       3.748230576272e+01
7.021000000000e-02       4.362637594963e-01       3.680283129565e+01
8.721000000000e-02       5.305711196793e-01       3.595401858615e+01
1.042100000000e-01       6.182586947409e-01       3.494820884181e+01
1.212100000000e-01       6.986069681627e-01       3.379976509151e+01
1.382100000000e-01       7.711110280139e-01       3.252473131482e+01
1.552100000000e-01       8.354775405280e-01       3.114046039928e+01
1.722100000000e-01       8.916151524835e-01       2.966522295459e+01
1.892100000000e-01       9.396191518100e-01       2.811780924093e+01
2.062100000000e-01       9.797514018255e-01       2.651713622613e+01
2.232100000000e-01       1.012416688491e+00       2.488187105796e+01
2.402100000000e-01       1.038136681016e+00       2.323008113184e+01
2.572100000000e-01       1.057522704294e+00       2.157891945474e+01
2.742100000000e-01       1.071248463721e+00       1.994435231487e+01
2.912100000000e-01       1.080023754973e+00       1.834093436320e+01
3.082100000000e-01       1.084570045138e+00       1.678163426494e+01
3.252100000000e-01       1.085598637556e+00       1.527771215168e+01
3.422100000000e-01       1.083791942927e+00       1.383864824445e+01
3.592100000000e-01       1.079788185834e+00       1.247212036965e+01
3.762100000000e-01       1.074169688080e+00       1.118402663701e+01
3.932100000000e-01       1.067454700080e+00       9.978548393635e+00
4.102100000000e-01       1.060092600847e+00       8.858247676248e+00
4.272100000000e-01       1.052462168781e+00       7.824192845652e+00
4.442100000000e-01       1.044872532381e+00       6.876105780373e+00
4.612100000000e-01       1.037566354127e+00       6.012524072281e+00
4.782100000000e-01       1.030724767882e+00       5.230971853469e+00
4.952100000000e-01       1.024473591522e+00       4.528133411406e+00
5.122100000000e-01       1.018890357098e+00       3.900024372734e+00
5.292100000000e-01       1.014011737805e+00       3.342155896804e+00
5.462100000000e-01       1.009841011543e+00       2.849688322567e+00
5.632100000000e-01       1.006355254696e+00       2.417571335321e+00
5.802100000000e-01       1.003512032277e+00       2.040668724156e+00
5.972100000000e-01       1.001255413490e+00       1.713866518764e+00
6.142100000000e-01       9.995212040831e-01       1.432164016975e+00
6.312100000000e-01       9.982413429978e-01       1.190747823034e+00
6.482100000000e-01       9.973474586998e-01       9.850496264031e-01
6.652100000000e-01       9.967736183708e-01       8.107887261468e-01
6.822100000000e-01       9.964583332752e-01       6.640007466686e-01
6.992100000000e-01       9.963459029193e-01       5.410541221039e-01
7.162100000000e-01       9.963871931525e-01       4.386560551832e-01
7.332100000000e-01       9.965399476504e-01       3.538496924799e-01
7.502100000000e-01       9.967687313558e-01       2.840042188235e-01
7.672100000000e-01       9.970445977140e-01       2.267994723921e-01
7.842100000000e-01       9.973445629612e-01       1.802065439744e-01
8.012100000000e-01       9.976509615534e-01       1.424657144210e-01
8.182100000000e-01       9.979507389945e-01       1.120627895373e-01
8.352100000000e-01       9.982347344966e-01       8.770488334830e-02
8.522100000000e-01       9.984969857816e-01       6.829633622224e-02
8.692100000000e-01       9.987340840324e-01       5.291542798417e-02
8.862100000000e-01       9.989445949027e-01       4.079232794094e-02
9.032100000000e-01       9.991285542270e-01       3.128858638034e-02
9.202100000000e-01       9.992870414308e-01       2.387836974475e-02
9.372100000000e-01       9.994218288554e-01       1.813153954776e-02
9.542100000000e-01       9.995351018956e-01       1.369859280645e-02
9.712100000000e-01       9.996292427860e-01       1.029742135204e-02
9.882100000000e-01       9.997066697316e-01       7.701800916522e-03
1.005210000000e+00       9.997697227327e-01       5.731488556151e-03
1.022210000000e+00       9.998205876520e-01       4.243789540144e-03
1.039210000000e+00       9.998612505598e-01       3.126449391390e-03
1.056210000000e+00       9.998934752825e-01       2.291714044236e-03
1.073210000000e+00       9.999187982916e-01       1.671400582884e-03
1.090210000000e+00       9.999385353817e-01       1.212863947782e-03
