32 H  series 0  -0.453181 +/- 0.003923   0.500575 +/- 0.017852   1.1046 
128 H  series 1  -0.455705 +/- 0.002809   0.487435 +/- 0.009406   1.0696 
512 H  series 2  -0.453837 +/- 0.000869   0.518392 +/- 0.006916   1.1422 
