#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         MPC                 KEcorr              BlockWeight         BlockCPU            AcceptRatio         
        19   -4.4799298195e+01    2.0084407839e+03   -7.9075472348e+01    3.4276174154e+01   -1.1588119769e+01   -5.1102678671e+01   -1.9704901003e+01    3.3202270944e+00   -1.1276076632e+01    6.7395593700e-02    5.1200000000e+02    1.2558828445e-02    7.5488281250e-01
        20   -4.4817958296e+01    2.0103697455e+03   -7.8712590893e+01    3.3894632597e+01   -1.1423503706e+01   -5.1102678671e+01   -1.9863077964e+01    3.6766694481e+00   -1.1097823155e+01    6.7395593700e-02    5.1200000000e+02    1.2681445549e-02    7.6141357422e-01
        21   -4.4857118487e+01    2.0138717666e+03   -7.9081726594e+01    3.4224608107e+01   -1.1543321516e+01   -5.1102678671e+01   -2.0136558762e+01    3.7008323547e+00   -1.1242519592e+01    6.7395593700e-02    5.1200000000e+02    1.2656557705e-02    7.5909423828e-01
        22   -4.4849373368e+01    2.0131124461e+03   -7.9412545800e+01    3.4563172432e+01   -1.1513311742e+01   -5.1102678671e+01   -2.0798285989e+01    4.0017306014e+00   -1.1179057472e+01    6.7395593700e-02    5.1200000000e+02    1.2672431897e-02    7.5775146484e-01
        23   -4.4900519260e+01    2.0176512648e+03   -7.9593813247e+01    3.4693293987e+01   -1.1538764241e+01   -5.1102678671e+01   -2.0607798463e+01    3.6554281282e+00   -1.1208046650e+01    6.7395593700e-02    5.1200000000e+02    1.2722578318e-02    7.6025390625e-01
        24   -4.4894912940e+01    2.0173825789e+03   -7.9179418521e+01    3.4284505581e+01   -1.1620248147e+01   -5.1102678671e+01   -2.0267504208e+01    3.8110125060e+00   -1.1318776763e+01    6.7395593700e-02    5.1200000000e+02    1.2667230435e-02    7.5616455078e-01
        25   -4.4938919029e+01    2.0210225931e+03   -7.9352787331e+01    3.4413868302e+01   -1.1593739486e+01   -5.1102678671e+01   -2.0577323074e+01    3.9209539003e+00   -1.1295725621e+01    6.7395593700e-02    5.1200000000e+02    1.2640672598e-02    7.5616455078e-01
        26   -4.4915046358e+01    2.0190104718e+03   -7.9136078413e+01    3.4221032055e+01   -1.1629671050e+01   -5.1102678671e+01   -2.0218466086e+01    3.8147373952e+00   -1.1318345621e+01    6.7395593700e-02    5.1200000000e+02    1.2644264497e-02    7.5805664062e-01
        27   -4.4835881873e+01    2.0117441613e+03   -7.8867602858e+01    3.4031720985e+01   -1.1624815151e+01   -5.1102678671e+01   -1.9813756954e+01    3.6736479185e+00   -1.1303180187e+01    6.7395593700e-02    5.1200000000e+02    1.2710457737e-02    7.6080322266e-01
        28   -4.4805189422e+01    2.0090106075e+03   -7.8137604490e+01    3.3332415068e+01   -1.1660712881e+01   -5.1102678671e+01   -1.9178579580e+01    3.8043666420e+00   -1.1358290979e+01    6.7395593700e-02    5.1200000000e+02    1.2649013213e-02    7.5750732422e-01
        29   -4.4921374498e+01    2.0197204363e+03   -7.8876761633e+01    3.3955387135e+01   -1.1588062332e+01   -5.1102678671e+01   -1.9756487636e+01    3.5704670062e+00   -1.1258617789e+01    6.7395593700e-02    5.1200000000e+02    1.2645546812e-02    7.6123046875e-01
        30   -4.4906678536e+01    2.0184341039e+03   -7.9108406982e+01    3.4201728446e+01   -1.1377318955e+01   -5.1102678671e+01   -2.0572485739e+01    3.9440763831e+00   -1.1044135918e+01    6.7395593700e-02    5.1200000000e+02    1.2679463655e-02    7.6080322266e-01
        31   -4.4882946564e+01    2.0160850621e+03   -7.9452919802e+01    3.4569973238e+01   -1.1552665183e+01   -5.1102678671e+01   -2.0665298391e+01    3.8677224439e+00   -1.1209800938e+01    6.7395593700e-02    5.1200000000e+02    1.2745671211e-02    7.5695800781e-01
        32   -4.4847297405e+01    2.0129710462e+03   -7.8804445043e+01    3.3957147638e+01   -1.1388289716e+01   -5.1102678671e+01   -2.0058018253e+01    3.7445415971e+00   -1.1035261461e+01    6.7395593700e-02    5.1200000000e+02    1.2727164089e-02    7.5927734375e-01
        33   -4.4846211643e+01    2.0129001964e+03   -7.8842214152e+01    3.3996002509e+01   -1.1572940768e+01   -5.1102678671e+01   -1.9661508410e+01    3.4949136970e+00   -1.1232070238e+01    6.7395593700e-02    5.1200000000e+02    1.2672096101e-02    7.5946044922e-01
        34   -4.4956204224e+01    2.0226473329e+03   -7.9383219652e+01    3.4427015427e+01   -1.1604355550e+01   -5.1102678671e+01   -2.0639937609e+01    3.9637521786e+00   -1.1276441454e+01    6.7395593700e-02    5.1200000000e+02    1.2650690874e-02    7.5543212891e-01
        35   -4.4926162019e+01    2.0199772588e+03   -7.9322255769e+01    3.4396093750e+01   -1.1555345023e+01   -5.1102678671e+01   -2.0505905041e+01    3.8416729659e+00   -1.1230808578e+01    6.7395593700e-02    5.1200000000e+02    1.2689552632e-02    7.5933837891e-01
        36   -4.4822688694e+01    2.0105656204e+03   -7.8901682198e+01    3.4078993504e+01   -1.1652828657e+01   -5.1102678671e+01   -1.9923260803e+01    3.7770859330e+00   -1.1336370030e+01    6.7395593700e-02    5.1200000000e+02    1.2629602192e-02    7.6342773438e-01
        37   -4.4870874687e+01    2.0151252846e+03   -7.8821975163e+01    3.3951100476e+01   -1.1499937328e+01   -5.1102678671e+01   -2.0065620683e+01    3.8462615188e+00   -1.1186854245e+01    6.7395593700e-02    5.1200000000e+02    1.2612226931e-02    7.5640869141e-01
        38   -4.4810146449e+01    2.0100080141e+03   -7.8892534031e+01    3.4082387581e+01   -1.1711350574e+01   -5.1102678671e+01   -1.9598368177e+01    3.5198633922e+00   -1.1404046836e+01    6.7395593700e-02    5.1200000000e+02    1.2604803855e-02    7.6196289062e-01
        39   -4.4926944374e+01    2.0202532686e+03   -7.9243619881e+01    3.4316675508e+01   -1.1447109607e+01   -5.1102678671e+01   -2.0399381553e+01    3.7055499494e+00   -1.1135250986e+01    6.7395593700e-02    5.1200000000e+02    1.2689748564e-02    7.5964355469e-01
        40   -4.4900293040e+01    2.0178220429e+03   -7.8960660875e+01    3.4060367835e+01   -1.1365772093e+01   -5.1102678671e+01   -2.0365573779e+01    3.8733636678e+00   -1.1054381183e+01    6.7395593700e-02    5.1200000000e+02    1.2660971841e-02    7.5988769531e-01
        41   -4.4919289611e+01    2.0195676826e+03   -7.8930055219e+01    3.4010765608e+01   -1.1531357667e+01   -5.1102678671e+01   -2.0493813148e+01    4.1977942675e+00   -1.1229967341e+01    6.7395593700e-02    5.1200000000e+02    1.2685282729e-02    7.5555419922e-01
        42   -4.4882718947e+01    2.0160253470e+03   -7.9050799973e+01    3.4168081026e+01   -1.1480351830e+01   -5.1102678671e+01   -2.0409603754e+01    3.9418342827e+00   -1.1163655291e+01    6.7395593700e-02    5.1200000000e+02    1.2687334424e-02    7.5982666016e-01
        43   -4.4796036538e+01    2.0082173230e+03   -7.8889119125e+01    3.4093082587e+01   -1.1421488394e+01   -5.1102678671e+01   -2.0248782963e+01    3.8838309033e+00   -1.1108138914e+01    6.7395593700e-02    5.1200000000e+02    1.2725751252e-02    7.5488281250e-01
        44   -4.4796214645e+01    2.0083281771e+03   -7.8510730508e+01    3.3714515863e+01   -1.1552477700e+01   -5.1102678671e+01   -1.9692340308e+01    3.8367661707e+00   -1.1231907456e+01    6.7395593700e-02    5.1200000000e+02    1.2661679734e-02    7.6446533203e-01
        45   -4.4891680278e+01    2.0170990756e+03   -7.8810669893e+01    3.3918989615e+01   -1.1342754511e+01   -5.1102678671e+01   -2.0061424880e+01    3.6961881690e+00   -1.1021105792e+01    6.7395593700e-02    5.1200000000e+02    1.2673802095e-02    7.6086425781e-01
        46   -4.4908846327e+01    2.0182955948e+03   -7.8892120371e+01    3.3983274044e+01   -1.1515872754e+01   -5.1102678671e+01   -2.0123523401e+01    3.8499544546e+00   -1.1190776092e+01    6.7395593700e-02    5.1200000000e+02    1.2670039541e-02    7.6232910156e-01
        47   -4.4953865803e+01    2.0225509206e+03   -7.9269074019e+01    3.4315208216e+01   -1.1476511117e+01   -5.1102678671e+01   -2.0434783195e+01    3.7448989644e+00   -1.1175995542e+01    6.7395593700e-02    5.1200000000e+02    1.2632790210e-02    7.5848388672e-01
        48   -4.4943150185e+01    2.0218017802e+03   -7.9508969352e+01    3.4565819166e+01   -1.1393197119e+01   -5.1102678671e+01   -2.0709894277e+01    3.6968007157e+00   -1.1075253135e+01    6.7395593700e-02    5.1200000000e+02    1.2673163904e-02    7.6196289062e-01
        49   -4.4849120044e+01    2.0130456166e+03   -7.8981591266e+01    3.4132471222e+01   -1.1550460623e+01   -5.1102678671e+01   -2.0069181830e+01    3.7407298583e+00   -1.1225539206e+01    6.7395593700e-02    5.1200000000e+02    1.2663605469e-02    7.6354980469e-01
        50   -4.4818801715e+01    2.0104161195e+03   -7.9201574447e+01    3.4382772732e+01   -1.1625155258e+01   -5.1102678671e+01   -2.0165494737e+01    3.6917542184e+00   -1.1291621712e+01    6.7395593700e-02    5.1200000000e+02    1.2623882463e-02    7.6257324219e-01
        51   -4.4819178295e+01    2.0103080016e+03   -7.9562378911e+01    3.4743200616e+01   -1.1516020882e+01   -5.1102678671e+01   -2.0691870944e+01    3.7481915861e+00   -1.1184260661e+01    6.7395593700e-02    5.1200000000e+02    1.2666444580e-02    7.5494384766e-01
        52   -4.4920457757e+01    2.0194576195e+03   -7.9583313937e+01    3.4662856180e+01   -1.1530912143e+01   -5.1102678671e+01   -2.0453705225e+01    3.5039821025e+00   -1.1199740784e+01    6.7395593700e-02    5.1200000000e+02    1.2642401882e-02    7.6214599609e-01
        53   -4.4917692101e+01    2.0192713852e+03   -7.9651280988e+01    3.4733588887e+01   -1.1415817046e+01   -5.1102678671e+01   -2.0778309429e+01    3.6455241584e+00   -1.1090811337e+01    6.7395593700e-02    5.1200000000e+02    1.2671088274e-02    7.5451660156e-01
        54   -4.4902301741e+01    2.0179865262e+03   -7.9568170433e+01    3.4665868692e+01   -1.1627228693e+01   -5.1102678671e+01   -2.0688459753e+01    3.8501966838e+00   -1.1300349655e+01    6.7395593700e-02    5.1200000000e+02    1.2697817856e-02    7.5793457031e-01
        55   -4.4920745398e+01    2.0193315118e+03   -7.9467799175e+01    3.4547053777e+01   -1.1467570072e+01   -5.1102678671e+01   -2.0626495356e+01    3.7289449249e+00   -1.1142458080e+01    6.7395593700e-02    5.1200000000e+02    1.2675291978e-02    7.5494384766e-01
        56   -4.4840072217e+01    2.0122512524e+03   -7.9334264259e+01    3.4494192042e+01   -1.1590348861e+01   -5.1102678671e+01   -2.0155510102e+01    3.5142733750e+00   -1.1247573016e+01    6.7395593700e-02    5.1200000000e+02    1.2643997573e-02    7.5683593750e-01
        57   -4.4844982031e+01    2.0126228105e+03   -7.9356443717e+01    3.4511461686e+01   -1.1496758164e+01   -5.1102678671e+01   -2.0433116113e+01    3.6761092320e+00   -1.1176255865e+01    6.7395593700e-02    5.1200000000e+02    1.2685023965e-02    7.6159667969e-01
        58   -4.4899808037e+01    2.0176770705e+03   -7.9235069334e+01    3.4335261296e+01   -1.1285482665e+01   -5.1102678671e+01   -2.0663096961e+01    3.8161889633e+00   -1.0945762176e+01    6.7395593700e-02    5.1200000000e+02    1.2709161504e-02    7.6458740234e-01
        59   -4.4844972941e+01    2.0128445673e+03   -7.9069589294e+01    3.4224616353e+01   -1.1489721252e+01   -5.1102678671e+01   -2.0513793456e+01    4.0366040849e+00   -1.1147275760e+01    6.7395593700e-02    5.1200000000e+02    1.2730928591e-02    7.5903320312e-01
        60   -4.4805027921e+01    2.0092860408e+03   -7.8583613350e+01    3.3778585430e+01   -1.1390965118e+01   -5.1102678671e+01   -1.9819503816e+01    3.7295342550e+00   -1.1063037161e+01    6.7395593700e-02    5.1200000000e+02    1.2720946978e-02    7.5256347656e-01
        61   -4.4907571666e+01    2.0185457052e+03   -7.9354460495e+01    3.4446888830e+01   -1.1463988525e+01   -5.1102678671e+01   -2.0416308827e+01    3.6285155277e+00   -1.1137645755e+01    6.7395593700e-02    5.1200000000e+02    1.2666050098e-02    7.6123046875e-01
        62   -4.4962364903e+01    2.0232645924e+03   -7.9325270372e+01    3.4362905469e+01   -1.1619745964e+01   -5.1102678671e+01   -2.0119496285e+01    3.5166505479e+00   -1.1313314871e+01    6.7395593700e-02    5.1200000000e+02    1.2703028401e-02    7.6019287109e-01
        63   -4.4878722940e+01    2.0157184293e+03   -7.9563677759e+01    3.4684954820e+01   -1.1599363568e+01   -5.1102678671e+01   -2.0556177130e+01    3.6945416100e+00   -1.1294566111e+01    6.7395593700e-02    5.1200000000e+02    1.2655999822e-02    7.5799560547e-01
        64   -4.4812574309e+01    2.0099110598e+03   -7.9353102720e+01    3.4540528411e+01   -1.1405323335e+01   -5.1102678671e+01   -2.0354016657e+01    3.5089159439e+00   -1.1078394869e+01    6.7395593700e-02    5.1200000000e+02    1.2623913328e-02    7.5561523438e-01
        65   -4.4884142456e+01    2.0160875894e+03   -7.9322118159e+01    3.4437975703e+01   -1.1444961846e+01   -5.1102678671e+01   -2.0419597716e+01    3.6451200739e+00   -1.1122530536e+01    6.7395593700e-02    5.1200000000e+02    1.2698444949e-02    7.5671386719e-01
        66   -4.4888253574e+01    2.0165223415e+03   -7.9132754009e+01    3.4244500435e+01   -1.1613707827e+01   -5.1102678671e+01   -1.9906801166e+01    3.4904336555e+00   -1.1300278764e+01    6.7395593700e-02    5.1200000000e+02    1.2684682720e-02    7.5561523438e-01
        67   -4.4878889010e+01    2.0160000436e+03   -7.9067380599e+01    3.4188491589e+01   -1.1680864352e+01   -5.1102678671e+01   -2.0052960597e+01    3.7691230200e+00   -1.1350028360e+01    6.7395593700e-02    5.1200000000e+02    1.2688267522e-02    7.6000976562e-01
        68   -4.4927728533e+01    2.0202944320e+03   -7.8968396039e+01    3.4040667506e+01   -1.1574615897e+01   -5.1102678671e+01   -1.9942650977e+01    3.6515495059e+00   -1.1260419820e+01    6.7395593700e-02    5.1200000000e+02    1.2634013823e-02    7.5823974609e-01
        69   -4.4744733695e+01    2.0040498580e+03   -7.8576192562e+01    3.3831458867e+01   -1.1447721084e+01   -5.1102678671e+01   -1.9949354498e+01    3.9235616912e+00   -1.1090077628e+01    6.7395593700e-02    5.1200000000e+02    1.2642707256e-02    7.5518798828e-01
        70   -4.4843991307e+01    2.0126698726e+03   -7.8656398874e+01    3.3812407567e+01   -1.1429217902e+01   -5.1102678671e+01   -1.9607878266e+01    3.4833759648e+00   -1.1087264160e+01    6.7395593700e-02    5.1200000000e+02    1.2686842168e-02    7.5976562500e-01
        71   -4.4833258980e+01    2.0115548713e+03   -7.9045260633e+01    3.4212001653e+01   -1.1435483314e+01   -5.1102678671e+01   -2.0501500495e+01    3.9944018467e+00   -1.1105672578e+01    6.7395593700e-02    5.1200000000e+02    1.2725811580e-02    7.5665283203e-01
        72   -4.4909722085e+01    2.0186360495e+03   -7.9302186686e+01    3.4392464601e+01   -1.1453998050e+01   -5.1102678671e+01   -2.0671840913e+01    3.9263309483e+00   -1.1129992703e+01    6.7395593700e-02    5.1200000000e+02    1.2747520369e-02    7.5549316406e-01
        73   -4.4861888221e+01    2.0140651497e+03   -7.9108421541e+01    3.4246533320e+01   -1.1421078705e+01   -5.1102678671e+01   -2.0187105672e+01    3.6024415067e+00   -1.1088048377e+01    6.7395593700e-02    5.1200000000e+02    1.2719197742e-02    7.5970458984e-01
        74   -4.4823749720e+01    2.0107677980e+03   -7.8908576945e+01    3.4084827225e+01   -1.1636744914e+01   -5.1102678671e+01   -1.9549177140e+01    3.3800237803e+00   -1.1319690632e+01    6.7395593700e-02    5.1200000000e+02    1.2641755083e-02    7.6202392578e-01
        75   -4.4828712893e+01    2.0112406987e+03   -7.9646813602e+01    3.4818100710e+01   -1.1383069210e+01   -5.1102678671e+01   -2.0483623967e+01    3.3225582456e+00   -1.1069405241e+01    6.7395593700e-02    5.1200000000e+02    1.2689635208e-02    7.6116943359e-01
        76   -4.4820052401e+01    2.0104816451e+03   -7.8610798924e+01    3.3790746523e+01   -1.1424842288e+01   -5.1102678671e+01   -1.9864106691e+01    3.7808287258e+00   -1.1085035806e+01    6.7395593700e-02    5.1200000000e+02    1.2711008110e-02    7.5762939453e-01
        77   -4.4752773695e+01    2.0044783899e+03   -7.8529207569e+01    3.3776433874e+01   -1.1552262534e+01   -5.1102678671e+01   -1.9656663066e+01    3.7823967014e+00   -1.1212168183e+01    6.7395593700e-02    5.1200000000e+02    1.2638148987e-02    7.6098632812e-01
        78   -4.4809157441e+01    2.0095102118e+03   -7.8657385805e+01    3.3848228364e+01   -1.1592620517e+01   -5.1102678671e+01   -1.9797039076e+01    3.8349524589e+00   -1.1269156206e+01    6.7395593700e-02    5.1200000000e+02    1.2662929324e-02    7.5744628906e-01
        79   -4.4794123717e+01    2.0081396738e+03   -7.8931319287e+01    3.4137195570e+01   -1.1664316315e+01   -5.1102678671e+01   -1.9575909533e+01    3.4115852316e+00   -1.1332851196e+01    6.7395593700e-02    5.1200000000e+02    1.2642767449e-02    7.5817871094e-01
