#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             BlockWeight         BlockCPU            AcceptRatio         
        21   -3.7543954193e+01    1.4284875876e+03   -7.1701341237e+01    3.4157387045e+01    1.1911470092e+01   -8.3612811330e+01    1.2800000000e+04    2.8328619053e-02    8.3041666667e-01
        22   -3.7111198758e+01    1.4037335765e+03   -7.2423251590e+01    3.5312052831e+01    1.2049774597e+01   -8.4473026186e+01    1.2800000000e+04    2.8365320229e-02    8.3446614583e-01
        23   -3.7138784319e+01    1.4082318409e+03   -7.2078818014e+01    3.4940033695e+01    1.1850540485e+01   -8.3929358499e+01    1.2800000000e+04    2.8351658159e-02    8.3209635417e-01
        24   -3.8152180606e+01    1.5929984073e+03   -7.2812350201e+01    3.4660169595e+01    1.1723481759e+01   -8.4535831960e+01    1.2800000000e+04    2.8335807632e-02    8.3180989583e-01
        25   -3.7122725188e+01    1.4025843553e+03   -7.0127638258e+01    3.3004913069e+01    1.2051560692e+01   -8.2179198950e+01    1.2800000000e+04    2.8333497856e-02    8.3304687500e-01
        26   -3.7856010042e+01    1.7664944617e+03   -7.2048727873e+01    3.4192717830e+01    1.2116425407e+01   -8.4165153280e+01    1.2800000000e+04    2.8328412666e-02    8.3282552083e-01
        27   -3.7693029965e+01    1.4480770178e+03   -7.2505021314e+01    3.4811991349e+01    1.2116460873e+01   -8.4621482187e+01    1.2800000000e+04    2.8359135454e-02    8.3187500000e-01
        28   -3.7329915453e+01    1.4129556735e+03   -7.1071418417e+01    3.3741502964e+01    1.1975746463e+01   -8.3047164880e+01    1.2800000000e+04    2.8360830039e-02    8.3365885417e-01
        29   -3.7920464554e+01    1.5898030237e+03   -7.2323272875e+01    3.4402808321e+01    1.2054311780e+01   -8.4377584655e+01    1.2800000000e+04    2.8366264902e-02    8.3292968750e-01
        30   -3.8028562109e+01    1.5798281983e+03   -7.1475416608e+01    3.3446854499e+01    1.2078596094e+01   -8.3554012702e+01    1.2800000000e+04    2.8360444131e-02    8.3302083333e-01
        31   -3.8515219640e+01    1.8392681981e+03   -7.5414389791e+01    3.6899170151e+01    1.2120934733e+01   -8.7535324524e+01    1.2800000000e+04    2.8319878062e-02    8.2966145833e-01
        32   -3.7213784497e+01    1.4062522457e+03   -7.1506257573e+01    3.4292473076e+01    1.2078777734e+01   -8.3585035307e+01    1.2800000000e+04    2.8370858735e-02    8.3316406250e-01
