#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -8.9758405129e-01    1.2886730312e+00   -2.0227544631e+00    1.1251704118e+00    5.6693795319e-01   -3.3031627359e+00    7.1347031963e-01    1.2800000000e+04    1.0998026387e-02    9.8773437500e-01
         1   -9.0414924439e-01    1.3117198457e+00   -2.0555337540e+00    1.1513845096e+00    5.5039333959e-01   -3.3193974132e+00    7.1347031963e-01    1.2800000000e+04    1.0677926338e-02    9.8832031250e-01
         2   -8.8137756990e-01    1.2211481229e+00   -2.0201245026e+00    1.1387469327e+00    5.6476646128e-01   -3.2983612835e+00    7.1347031963e-01    1.2800000000e+04    1.0699506953e-02    9.8816406250e-01
         3   -9.1997270352e-01    1.3476046467e+00   -1.9554529027e+00    1.0354801992e+00    5.2187020067e-01   -3.1907934230e+00    7.1347031963e-01    1.2800000000e+04    1.0681180957e-02    9.8859375000e-01
         4   -9.3175077204e-01    1.5502503760e+00   -2.0196275617e+00    1.0878767897e+00    5.6730929635e-01   -3.3004071777e+00    7.1347031963e-01    1.2800000000e+04    1.0674857031e-02    9.8718750000e-01
         5   -8.9169194433e-01    1.2228570592e+00   -2.0445837108e+00    1.1528917665e+00    5.7141430465e-01   -3.3294683351e+00    7.1347031963e-01    1.2800000000e+04    1.0678052363e-02    9.8707031250e-01
         6   -8.7616947103e-01    1.5049442850e+00   -2.1113309698e+00    1.2351614988e+00    5.9861069419e-01   -3.4234119837e+00    7.1347031963e-01    1.2800000000e+04    1.0680431372e-02    9.8687500000e-01
         7   -8.7307589014e-01    1.2204026253e+00   -2.0474543179e+00    1.1743784277e+00    5.7884900663e-01   -3.3397736441e+00    7.1347031963e-01    1.2800000000e+04    1.0674670361e-02    9.8824218750e-01
         8   -9.2642071974e-01    1.3785716328e+00   -2.0514301496e+00    1.1250094299e+00    5.7537658722e-01   -3.3402770564e+00    7.1347031963e-01    1.2800000000e+04    1.0671413750e-02    9.8750000000e-01
         9   -8.7751804233e-01    1.2415680151e+00   -2.0996017316e+00    1.2220836892e+00    6.0101278850e-01   -3.4140848397e+00    7.1347031963e-01    1.2800000000e+04    1.0696594282e-02    9.8816406250e-01
        10   -9.3766026419e-01    2.1068979033e+00   -2.0408495108e+00    1.1031892466e+00    5.5082670623e-01   -3.3051465366e+00    7.1347031963e-01    1.2800000000e+04    1.0651680830e-02    9.8574218750e-01
        11   -9.0423098990e-01    1.3216791992e+00   -2.0629676714e+00    1.1587366815e+00    5.7032645328e-01   -3.3467644443e+00    7.1347031963e-01    1.2800000000e+04    1.0664142241e-02    9.8671875000e-01
        12   -8.8871901680e-01    1.4905039382e+00   -2.0489655492e+00    1.1602465324e+00    5.8315437296e-01   -3.3455902418e+00    7.1347031963e-01    1.2800000000e+04    1.0677958022e-02    9.8738281250e-01
        13   -8.9728316771e-01    1.1894736205e+00   -2.0096577649e+00    1.1123745972e+00    5.6459838637e-01   -3.2877264709e+00    7.1347031963e-01    1.2800000000e+04    1.0681855376e-02    9.8699218750e-01
