#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -6.1797308219e+01    4.2102573516e+03   -1.3823128052e+02    7.6433972299e+01    7.1908075820e+01   -2.5113960090e+02    4.1000244566e+01    1.2800000000e+04    1.6457488072e-01    8.8894140625e-01
         1   -5.8565052933e+01    3.6284976648e+03   -1.3736413164e+02    7.8799078702e+01    7.4989762227e+01   -2.5335413843e+02    4.1000244566e+01    1.2800000000e+04    1.6449465156e-01    8.8732421875e-01
         2   -5.7783824966e+01    3.3991569730e+03   -1.3764491119e+02    7.9861086220e+01    7.5680697005e+01   -2.5432585276e+02    4.1000244566e+01    1.2800000000e+04    1.6445961043e-01    8.8680468750e-01
         3   -5.8231656721e+01    3.5477561837e+03   -1.3676416194e+02    7.8532505221e+01    7.4885784360e+01   -2.5265019087e+02    4.1000244566e+01    1.2800000000e+04    1.6450016139e-01    8.8742187500e-01
         4   -6.0595435531e+01    7.2574273030e+03   -1.3764570217e+02    7.7050266641e+01    7.4980534773e+01   -2.5362648151e+02    4.1000244566e+01    1.2800000000e+04    1.6452042221e-01    8.8785937500e-01
         5   -5.8548131836e+01    3.4835454954e+03   -1.3630212969e+02    7.7753997851e+01    7.4457692322e+01   -2.5176006657e+02    4.1000244566e+01    1.2800000000e+04    1.6448913539e-01    8.8732031250e-01
         6   -5.8142437226e+01    3.5330246865e+03   -1.3920091810e+02    8.1058480875e+01    7.5017116442e+01   -2.5521827911e+02    4.1000244566e+01    1.2800000000e+04    1.6447955858e-01    8.8710937500e-01
         7   -5.7876389751e+01    3.4052917533e+03   -1.3738457924e+02    7.9508189488e+01    7.5076109801e+01   -2.5346093361e+02    4.1000244566e+01    1.2800000000e+04    1.6444790016e-01    8.8691015625e-01
         8   -5.8514273246e+01    3.7488168038e+03   -1.3488095276e+02    7.6366679510e+01    7.4651933224e+01   -2.5053313055e+02    4.1000244566e+01    1.2800000000e+04    1.6452215395e-01    8.8800390625e-01
         9   -5.7810783745e+01    3.4102944164e+03   -1.3558873667e+02    7.7777952929e+01    7.4678598451e+01   -2.5126757969e+02    4.1000244566e+01    1.2800000000e+04    1.6454030312e-01    8.8794531250e-01
        10   -5.8210830860e+01    3.4422493602e+03   -1.3613160233e+02    7.7920771475e+01    7.5051513221e+01   -2.5218336012e+02    4.1000244566e+01    1.2800000000e+04    1.6444139462e-01    8.8651562500e-01
        11   -5.9265888067e+01    4.1685825984e+03   -1.3843124017e+02    7.9165352104e+01    7.4841553089e+01   -2.5427303783e+02    4.1000244566e+01    1.2800000000e+04    1.6457602155e-01    8.8870312500e-01
        12   -5.7736032355e+01    3.4303808290e+03   -1.3675915568e+02    7.9023123326e+01    7.5395102919e+01   -2.5315450317e+02    4.1000244566e+01    1.2800000000e+04    1.6446677029e-01    8.8715234375e-01
        13   -5.8172975756e+01    3.5547516225e+03   -1.3833814279e+02    8.0165167036e+01    7.5077570687e+01   -2.5441595805e+02    4.1000244566e+01    1.2800000000e+04    1.6444545652e-01    8.8675000000e-01
        14   -5.8003034677e+01    3.4207935738e+03   -1.3389497186e+02    7.5891937186e+01    7.4807766601e+01   -2.4970298303e+02    4.1000244566e+01    1.2800000000e+04    1.6443476774e-01    8.8668359375e-01
        15   -5.7927320764e+01    3.4044336967e+03   -1.3519972918e+02    7.7272408415e+01    7.4732907769e+01   -2.5093288151e+02    4.1000244566e+01    1.2800000000e+04    1.6453455413e-01    8.8775781250e-01
        16   -5.9153447844e+01    3.8768988551e+03   -1.3852339905e+02    7.9369951204e+01    7.4322838015e+01   -2.5384648163e+02    4.1000244566e+01    1.2800000000e+04    1.6447788286e-01    8.8718750000e-01
        17   -5.8959167520e+01    3.9047751542e+03   -1.3834888178e+02    7.9389714263e+01    7.5018121088e+01   -2.5436724744e+02    4.1000244566e+01    1.2800000000e+04    1.6446857958e-01    8.8657812500e-01
        18   -5.9318549013e+01    4.5486644995e+03   -1.3673255048e+02    7.7414001470e+01    7.4833912337e+01   -2.5256670739e+02    4.1000244566e+01    1.2800000000e+04    1.6449056461e-01    8.8694921875e-01
        19   -5.8920313193e+01    3.8656506435e+03   -1.3732256733e+02    7.8402254137e+01    7.5241252874e+01   -2.5356406477e+02    4.1000244566e+01    1.2800000000e+04    1.6449779583e-01    8.8740625000e-01
        20   -5.7992823826e+01    3.5517536651e+03   -1.3655615362e+02    7.8563329797e+01    7.5290794572e+01   -2.5284719276e+02    4.1000244566e+01    1.2800000000e+04    1.6451312111e-01    8.8746093750e-01
        21   -5.8284723972e+01    3.5248727802e+03   -1.3556624051e+02    7.7281516542e+01    7.4748560303e+01   -2.5131504538e+02    4.1000244566e+01    1.2800000000e+04    1.6453016975e-01    8.8833984375e-01
        22   -5.9208305083e+01    4.1381790913e+03   -1.3934772693e+02    8.0139421847e+01    7.4900582998e+01   -2.5524855449e+02    4.1000244566e+01    1.2800000000e+04    1.6452866655e-01    8.8785546875e-01
        23   -5.9808682580e+01    4.5283063801e+03   -1.4202246754e+02    8.2213784957e+01    7.4956994044e+01   -2.5797970615e+02    4.1000244566e+01    1.2800000000e+04    1.6453244447e-01    8.8813281250e-01
        24   -5.8112145191e+01    3.4426426352e+03   -1.3508009767e+02    7.6967952481e+01    7.4851860616e+01   -2.5093220285e+02    4.1000244566e+01    1.2800000000e+04    1.6459482745e-01    8.8858593750e-01
        25   -5.8106363656e+01    3.4516285708e+03   -1.3701161642e+02    7.8905252766e+01    7.5311086545e+01   -2.5332294753e+02    4.1000244566e+01    1.2800000000e+04    1.6442926779e-01    8.8656640625e-01
        26   -5.8530700085e+01    3.5529600060e+03   -1.3943609005e+02    8.0905389968e+01    7.5337999087e+01   -2.5577433371e+02    4.1000244566e+01    1.2800000000e+04    1.6448506545e-01    8.8725000000e-01
        27   -5.8467091965e+01    3.5979029809e+03   -1.3833861601e+02    7.9871524047e+01    7.5228362722e+01   -2.5456722330e+02    4.1000244566e+01    1.2800000000e+04    1.6440234560e-01    8.8641796875e-01
        28   -5.8755313483e+01    3.8601742663e+03   -1.3787270468e+02    7.9117391200e+01    7.5166132022e+01   -2.5403908127e+02    4.1000244566e+01    1.2800000000e+04    1.6446913084e-01    8.8692968750e-01
        29   -5.7959051452e+01    3.4105954695e+03   -1.3675015492e+02    7.8791103473e+01    7.4879289435e+01   -2.5262968893e+02    4.1000244566e+01    1.2800000000e+04    1.6444237811e-01    8.8610937500e-01
        30   -6.0339609246e+01    6.2722252006e+03   -1.4188579936e+02    8.1546190116e+01    7.4634123225e+01   -2.5752016715e+02    4.1000244566e+01    1.2800000000e+04    1.6452121698e-01    8.8766406250e-01
        31   -6.0000162530e+01    4.9912811088e+03   -1.3849077496e+02    7.8490612430e+01    7.4830468129e+01   -2.5432148766e+02    4.1000244566e+01    1.2800000000e+04    1.6455397110e-01    8.8860156250e-01
        32   -5.9506052318e+01    4.2485540105e+03   -1.3673131887e+02    7.7225266550e+01    7.4671074628e+01   -2.5240263806e+02    4.1000244566e+01    1.2800000000e+04    1.6455175791e-01    8.8836718750e-01
        33   -5.9155401444e+01    3.8312705891e+03   -1.3856051320e+02    7.9405111754e+01    7.5171773626e+01   -2.5473253139e+02    4.1000244566e+01    1.2800000000e+04    1.6448721061e-01    8.8720312500e-01
        34   -5.7906084835e+01    3.4851184706e+03   -1.3444385962e+02    7.6537774781e+01    7.4772248506e+01   -2.5021635269e+02    4.1000244566e+01    1.2800000000e+04    1.6449587926e-01    8.8737109375e-01
        35   -5.8445523129e+01    3.5433530764e+03   -1.3409961275e+02    7.5654089617e+01    7.4784511663e+01   -2.4988436898e+02    4.1000244566e+01    1.2800000000e+04    1.6453861119e-01    8.8837500000e-01
        36   -5.8043413286e+01    3.4173655884e+03   -1.3540436256e+02    7.7360949270e+01    7.4732468361e+01   -2.5113707548e+02    4.1000244566e+01    1.2800000000e+04    1.6451726683e-01    8.8775390625e-01
        37   -5.8666914098e+01    3.7142628422e+03   -1.3879240112e+02    8.0125487026e+01    7.5052855037e+01   -2.5484550073e+02    4.1000244566e+01    1.2800000000e+04    1.6448385505e-01    8.8744140625e-01
        38   -5.8093831563e+01    3.4698419596e+03   -1.3785933042e+02    7.9765498856e+01    7.5268296730e+01   -2.5412787172e+02    4.1000244566e+01    1.2800000000e+04    1.6447823434e-01    8.8684765625e-01
        39   -5.8233112518e+01    3.5090876271e+03   -1.3852809532e+02    8.0294982800e+01    7.4989706532e+01   -2.5451804642e+02    4.1000244566e+01    1.2800000000e+04    1.6447779983e-01    8.8695312500e-01
        40   -5.8435630322e+01    3.5333585554e+03   -1.3792540600e+02    7.9489775682e+01    7.4886099182e+01   -2.5381174975e+02    4.1000244566e+01    1.2800000000e+04    1.6447979429e-01    8.8680078125e-01
        41   -5.7893981058e+01    3.4315625312e+03   -1.3988195413e+02    8.1987973072e+01    7.5364870181e+01   -2.5624706888e+02    4.1000244566e+01    1.2800000000e+04    1.6446678194e-01    8.8639453125e-01
        42   -5.7971531210e+01    3.4410693255e+03   -1.3737852786e+02    7.9406996651e+01    7.5139018001e+01   -2.5351779043e+02    4.1000244566e+01    1.2800000000e+04    1.6450054651e-01    8.8755468750e-01
        43   -5.8539778912e+01    3.9191252338e+03   -1.3515453350e+02    7.6614754587e+01    7.4515342312e+01   -2.5067012038e+02    4.1000244566e+01    1.2800000000e+04    1.6450358076e-01    8.8794140625e-01
        44   -5.9021369034e+01    3.8832299192e+03   -1.4010796522e+02    8.1086596182e+01    7.4824062453e+01   -2.5593227224e+02    4.1000244566e+01    1.2800000000e+04    1.6450945429e-01    8.8792968750e-01
        45   -5.8144176712e+01    3.4732307135e+03   -1.3732560190e+02    7.9181425193e+01    7.4772599014e+01   -2.5309844548e+02    4.1000244566e+01    1.2800000000e+04    1.6455236130e-01    8.8806250000e-01
