#  Units = bohr hartree 
#  r  -r*V/zeff 
1.107210000000e+00       1.000040608463e+00
1.124210000000e+00       1.000030376094e+00
1.141210000000e+00       1.000022526262e+00
1.158210000000e+00       1.000016564905e+00
1.175210000000e+00       1.000012081510e+00
1.192210000000e+00       1.000008741102e+00
1.209210000000e+00       1.000006274751e+00
1.226210000000e+00       1.000004469692e+00
1.243210000000e+00       1.000003159871e+00
1.260210000000e+00       1.000002217310e+00
1.277210000000e+00       1.000001544538e+00
1.294210000000e+00       1.000001068150e+00
1.311210000000e+00       1.000000733449e+00
1.328210000000e+00       1.000000500093e+00
1.345210000000e+00       1.000000338620e+00
1.362210000000e+00       1.000000227713e+00
1.379210000000e+00       1.000000152094e+00
1.396210000000e+00       1.000000100905e+00
1.413210000000e+00       1.000000066499e+00
1.430210000000e+00       1.000000043537e+00
1.447210000000e+00       1.000000028317e+00
1.464210000000e+00       1.000000018299e+00
1.481210000000e+00       1.000000011749e+00
1.498210000000e+00       1.000000007495e+00
1.515210000000e+00       1.000000004752e+00
1.532210000000e+00       1.000000002993e+00
1.549210000000e+00       1.000000001874e+00
1.566210000000e+00       1.000000001166e+00
1.583210000000e+00       1.000000000721e+00
1.600210000000e+00       1.000000000443e+00
1.617210000000e+00       1.000000000271e+00
1.634210000000e+00       1.000000000164e+00
1.651210000000e+00       1.000000000099e+00
1.668210000000e+00       1.000000000059e+00
1.685210000000e+00       1.000000000035e+00
1.702210000000e+00       1.000000000021e+00
1.719210000000e+00       1.000000000012e+00
1.736210000000e+00       1.000000000007e+00
1.753210000000e+00       1.000000000004e+00
1.770210000000e+00       1.000000000002e+00
1.787210000000e+00       1.000000000001e+00
1.804210000000e+00       1.000000000001e+00
1.821210000000e+00       1.000000000000e+00
1.838210000000e+00       1.000000000000e+00
1.855210000000e+00       1.000000000000e+00
1.872210000000e+00       1.000000000000e+00
1.889210000000e+00       1.000000000000e+00
1.906210000000e+00       1.000000000000e+00
1.923210000000e+00       1.000000000000e+00
1.940210000000e+00       1.000000000000e+00
1.957210000000e+00       1.000000000000e+00
1.974210000000e+00       1.000000000000e+00
1.991210000000e+00       1.000000000000e+00
2.008210000000e+00       1.000000000000e+00
2.025210000000e+00       1.000000000000e+00
2.042210000000e+00       1.000000000000e+00
2.059210000000e+00       1.000000000000e+00
2.076210000000e+00       1.000000000000e+00
2.093210000000e+00       1.000000000000e+00
2.110210000000e+00       1.000000000000e+00
2.127210000000e+00       1.000000000000e+00
2.144210000000e+00       1.000000000000e+00
2.161210000000e+00       1.000000000000e+00
2.178210000000e+00       1.000000000000e+00
2.195210000000e+00       1.000000000000e+00
2.212210000000e+00       1.000000000000e+00
2.229210000000e+00       1.000000000000e+00
2.246210000000e+00       1.000000000000e+00
2.263210000000e+00       1.000000000000e+00
2.280210000000e+00       1.000000000000e+00
2.297210000000e+00       1.000000000000e+00
2.314210000000e+00       1.000000000000e+00
