500    H  series 0  -0.451276 +/- 0.004104   0.554500 +/- 0.041630   1.2287  13.178385
2000   H  series 1  -0.454953 +/- 0.001512   0.510220 +/- 0.011461   1.1215  55.686709
8000   H  series 2  -0.453859 +/- 0.000877   0.536538 +/- 0.021189   1.1822  252.108632
32000  H  series 3  -0.454362 +/- 0.000497   0.519411 +/- 0.007358   1.1432  1093.872134
128000 H  series 4  -0.454285 +/- 0.000231   0.513667 +/- 0.002625   1.1307  4385.037358
