#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             Coulomb             BlockWeight         BlockCPU            AcceptRatio         
        32   -5.2831014246e-01    2.9166004612e-01   -9.0470423835e-01    3.7639409589e-01   -9.0470423835e-01    8.0000000000e+02    2.6264786720e-04    7.6750000000e-01
        33   -5.2114643539e-01    2.9819949752e-01   -1.0830093797e+00    5.6186294434e-01   -1.0830093797e+00    8.0000000000e+02    2.1809339523e-04    7.1875000000e-01
        34   -5.6679834789e-01    4.1999861604e-01   -8.3651881380e-01    2.6972046591e-01   -8.3651881380e-01    8.0000000000e+02    2.6884675026e-04    8.4000000000e-01
        35   -5.2896544882e-01    2.9590907696e-01   -8.5373241372e-01    3.2476696490e-01   -8.5373241372e-01    8.0000000000e+02    2.5960803032e-04    7.9125000000e-01
        36   -5.2059034378e-01    2.8945156907e-01   -1.0178978770e+00    4.9730753319e-01   -1.0178978770e+00    8.0000000000e+02    1.9967556000e-04    7.5875000000e-01
        37   -5.0936632225e-01    2.8691035179e-01   -9.5537596351e-01    4.4600964126e-01   -9.5537596351e-01    8.0000000000e+02    1.7562508583e-04    7.5500000000e-01
        38   -5.0224602322e-01    2.7880261433e-01   -9.3792917419e-01    4.3568315097e-01   -9.3792917419e-01    8.0000000000e+02    2.5558471680e-04    7.4875000000e-01
        39   -4.9746254118e-01    2.8120851297e-01   -1.0527495108e+00    5.5528696966e-01   -1.0527495108e+00    8.0000000000e+02    2.4193525314e-04    6.8625000000e-01
        40   -5.3366416843e-01    2.9363468693e-01   -8.6237958498e-01    3.2871541655e-01   -8.6237958498e-01    8.0000000000e+02    2.3150444031e-04    7.6500000000e-01
        41   -5.0660239434e-01    2.9946551388e-01   -1.0609148160e+00    5.5431242164e-01   -1.0609148160e+00    8.0000000000e+02    2.4980306625e-04    7.2500000000e-01
        42   -6.2007695433e-01    1.4603977992e+00   -1.7261454100e+00    1.1060684556e+00   -1.7261454100e+00    8.0000000000e+02    2.3677945137e-04    7.0625000000e-01
        43   -4.4531207608e-01    2.6671163936e-01   -1.1263859525e+00    6.8107387640e-01   -1.1263859525e+00    8.0000000000e+02    2.4557113647e-04    7.2125000000e-01
        44   -4.5843267315e-01    2.5660581167e-01   -9.1982684652e-01    4.6139417337e-01   -9.1982684652e-01    8.0000000000e+02    2.6100873947e-04    7.8250000000e-01
        45   -4.7413948256e-01    2.6846798780e-01   -8.3834297822e-01    3.6420349566e-01   -8.3834297822e-01    8.0000000000e+02    2.1740794182e-04    8.0500000000e-01
