#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             Coulomb             BlockWeight         BlockCPU            AcceptRatio         
        31   -4.4417050524e-01    3.8198945031e-01   -1.0965478725e+00    6.5237736722e-01   -1.0965478725e+00    1.2800000000e+04    5.5243302002e-03    1.0000000000e+00
        32   -4.3409914100e-01    3.5739429714e-01   -1.0495057108e+00    6.1540656983e-01   -1.0495057108e+00    1.2800000000e+04    5.5196111279e-03    9.9992187500e-01
        33   -4.6528077518e-01    4.1909414842e-01   -1.0235589720e+00    5.5827819681e-01   -1.0235589720e+00    1.2800000000e+04    5.5006585303e-03    9.9992187500e-01
        34   -5.0993310204e-01    6.2451482608e-01   -1.1234711539e+00    6.1353805187e-01   -1.1234711539e+00    1.2800000000e+04    5.5201045654e-03    1.0000000000e+00
        35   -4.6773623364e-01    4.3231424655e-01   -1.1473757942e+00    6.7963956054e-01   -1.1473757942e+00    1.2800000000e+04    5.5206794141e-03    1.0000000000e+00
        36   -4.3611420278e-01    3.8360423884e-01   -1.0760792501e+00    6.3996504730e-01   -1.0760792501e+00    1.2800000000e+04    5.5203386719e-03    9.9992187500e-01
        37   -4.3057830066e-01    4.1126077056e-01   -1.1026477410e+00    6.7206944038e-01   -1.1026477410e+00    1.2800000000e+04    5.5223278271e-03    1.0000000000e+00
        38   -4.5538622754e-01    1.4112801679e+00   -1.1812108388e+00    7.2582461130e-01   -1.1812108388e+00    1.2800000000e+04    5.5040985791e-03    9.9992187500e-01
        39   -4.5814807181e-01    5.7880619922e-01   -1.2258608526e+00    7.6771278077e-01   -1.2258608526e+00    1.2800000000e+04    5.5198090137e-03    1.0000000000e+00
        40   -5.1773971670e-01    2.5092217147e+00   -1.2344143710e+00    7.1667465433e-01   -1.2344143710e+00    1.2800000000e+04    5.5279230420e-03    1.0000000000e+00
        41   -4.5007445637e-01    4.7181098654e-01   -1.1261282057e+00    6.7605374932e-01   -1.1261282057e+00    1.2800000000e+04    5.5227418457e-03    1.0000000000e+00
        42   -4.6054495821e-01    5.6318572611e-01   -1.1306208367e+00    6.7007587845e-01   -1.1306208367e+00    1.2800000000e+04    5.5160168115e-03    1.0000000000e+00
        43   -4.8916525651e-01    5.9878750067e-01   -1.1340899539e+00    6.4492469743e-01   -1.1340899539e+00    1.2800000000e+04    5.5071964111e-03    1.0000000000e+00
        44   -4.8493007445e-01    1.0848730580e+00   -1.0798069473e+00    5.9487687289e-01   -1.0798069473e+00    1.2800000000e+04    5.5237080713e-03    9.9992187500e-01
        45   -5.1032828408e-01    1.6452500152e+00   -1.1049271497e+00    5.9459886567e-01   -1.1049271497e+00    1.2800000000e+04    5.5209228955e-03    1.0000000000e+00
        46   -4.2371242712e-01    5.1697126326e-01   -1.1359292667e+00    7.1221683956e-01   -1.1359292667e+00    1.2800000000e+04    5.5189304834e-03    9.9992187500e-01
        47   -4.3719293766e-01    6.5254490554e-01   -1.2764596216e+00    8.3926668392e-01   -1.2764596216e+00    1.2800000000e+04    5.5230737061e-03    9.9992187500e-01
        48   -5.2704904802e-01    2.2541464551e+00   -1.3668361241e+00    8.3978707609e-01   -1.3668361241e+00    1.2800000000e+04    5.4995072803e-03    1.0000000000e+00
        49   -4.3008702437e-01    6.2437410108e-01   -1.2198935864e+00    7.8980656200e-01   -1.2198935864e+00    1.2800000000e+04    5.5173095312e-03    1.0000000000e+00
        50   -4.6543764797e-01    2.5848371172e+00   -1.3072296104e+00    8.4179196243e-01   -1.3072296104e+00    1.2800000000e+04    5.5191631152e-03    9.9992187500e-01
        51   -4.9162514074e-01    1.0085834321e+00   -1.2900290741e+00    7.9840393333e-01   -1.2900290741e+00    1.2800000000e+04    5.5257745215e-03    1.0000000000e+00
        52   -4.2791806347e-01    1.0700757103e+00   -1.2899024982e+00    8.6198443471e-01   -1.2899024982e+00    1.2800000000e+04    5.5261103369e-03    1.0000000000e+00
        53   -4.2529425858e-01    5.7316330629e-01   -1.2516168392e+00    8.2632258061e-01   -1.2516168392e+00    1.2800000000e+04    5.5026823730e-03    9.9992187500e-01
        54   -4.5777255712e-01    2.2637031010e+00   -1.2366881346e+00    7.7891557745e-01   -1.2366881346e+00    1.2800000000e+04    5.5224442236e-03    1.0000000000e+00
        55   -4.6294053175e-01    6.9270985505e-01   -1.2588843107e+00    7.9594377895e-01   -1.2588843107e+00    1.2800000000e+04    5.5227340820e-03    1.0000000000e+00
        56   -4.5289104380e-01    5.3468633115e-01   -1.1627742544e+00    7.0988321062e-01   -1.1627742544e+00    1.2800000000e+04    5.5220251758e-03    1.0000000000e+00
        57   -4.3731171099e-01    3.9746465025e-01   -1.1277274868e+00    6.9041577581e-01   -1.1277274868e+00    1.2800000000e+04    5.5234223633e-03    1.0000000000e+00
        58   -4.5524056531e-01    5.5716717036e-01   -1.1179951702e+00    6.6275460488e-01   -1.1179951702e+00    1.2800000000e+04    5.4973700098e-03    9.9992187500e-01
        59   -4.4283230617e-01    3.8070738127e-01   -1.1078300867e+00    6.6499778051e-01   -1.1078300867e+00    1.2800000000e+04    5.5217129004e-03    1.0000000000e+00
        60   -3.9812764281e-01    3.3919063819e-01   -1.1038172275e+00    7.0568958470e-01   -1.1038172275e+00    1.2800000000e+04    5.5164070459e-03    1.0000000000e+00
        61   -4.2554761235e-01    6.1501027540e-01   -1.1865424864e+00    7.6099487403e-01   -1.1865424864e+00    1.2800000000e+04    5.5194688770e-03    9.9984375000e-01
        62   -4.6345323083e-01    9.7021296957e-01   -1.2737528604e+00    8.1029962953e-01   -1.2737528604e+00    1.2800000000e+04    5.5222388916e-03    9.9992187500e-01
        63   -4.0769570007e-01    4.3407637162e-01   -1.2020741155e+00    7.9437841546e-01   -1.2020741155e+00    1.2800000000e+04    5.5027303418e-03    1.0000000000e+00
        64   -4.4731155682e-01    4.9313410364e-01   -1.1829553047e+00    7.3564374793e-01   -1.1829553047e+00    1.2800000000e+04    5.5204262500e-03    9.9984375000e-01
        65   -4.4975251800e-01    4.8731338270e-01   -1.1812597158e+00    7.3150719777e-01   -1.1812597158e+00    1.2800000000e+04    5.5228553418e-03    9.9984375000e-01
        66   -4.1912230346e-01    4.0726951367e-01   -1.0859501043e+00    6.6682780089e-01   -1.0859501043e+00    1.2800000000e+04    5.5302368213e-03    9.9992187500e-01
        67   -4.4065978349e-01    3.6800220737e-01   -1.0387643071e+00    5.9810452363e-01   -1.0387643071e+00    1.2800000000e+04    5.5246086865e-03    9.9992187500e-01
        68   -4.5218464992e-01    3.9793487022e-01   -1.1090685296e+00    6.5688387970e-01   -1.1090685296e+00    1.2800000000e+04    5.5033514014e-03    9.9992187500e-01
        69   -4.5694968048e-01    5.0974945531e-01   -1.1831923998e+00    7.2624271928e-01   -1.1831923998e+00    1.2800000000e+04    5.5231769873e-03    1.0000000000e+00
        70   -4.3937760404e-01    6.9682814153e-01   -1.1803035897e+00    7.4092598569e-01   -1.1803035897e+00    1.2800000000e+04    5.5202260840e-03    1.0000000000e+00
        71   -4.9519387239e-01    1.1880450237e+00   -1.2049215883e+00    7.0972771591e-01   -1.2049215883e+00    1.2800000000e+04    5.5204868311e-03    9.9992187500e-01
        72   -5.0153075400e-01    8.4392239669e-01   -1.2241383089e+00    7.2260755490e-01   -1.2241383089e+00    1.2800000000e+04    5.5280256543e-03    1.0000000000e+00
        73   -5.4764875024e-01    1.6620813851e+00   -1.2701036127e+00    7.2245486245e-01   -1.2701036127e+00    1.2800000000e+04    5.4993600928e-03    1.0000000000e+00
        74   -5.0427834917e-01    8.4582208081e-01   -1.1792406638e+00    6.7496231459e-01   -1.1792406638e+00    1.2800000000e+04    5.5268536523e-03    9.9992187500e-01
