#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -9.4773943774e+01    9.1554962752e+03   -2.1046817786e+02    1.1569423409e+02    1.5490760635e+02   -4.6754106904e+02    1.0216528483e+02    1.2800000000e+04    3.5104331479e-01    8.9552001953e-01
         1   -9.1690143907e+01    8.8954608539e+03   -2.1064646324e+02    1.1895631933e+02    1.5841469129e+02   -4.7122643936e+02    1.0216528483e+02    1.2800000000e+04    3.5261587585e-01    8.9433837891e-01
         2   -9.2269909749e+01    1.0792013739e+04   -2.0951361383e+02    1.1724370408e+02    1.5851387230e+02   -4.7019277096e+02    1.0216528483e+02    1.2800000000e+04    3.5290518936e-01    8.9517822266e-01
         3   -9.1293882899e+01    8.5190792221e+03   -2.0906175260e+02    1.1776786970e+02    1.5986461001e+02   -4.7109164743e+02    1.0216528483e+02    1.2800000000e+04    3.5259350917e-01    8.9526123047e-01
         4   -9.1812746509e+01    8.9678119130e+03   -2.1234050665e+02    1.2052776014e+02    1.5955537635e+02   -4.7406116782e+02    1.0216528483e+02    1.2800000000e+04    3.5238729833e-01    8.9476074219e-01
         5   -9.1429131671e+01    8.4878585932e+03   -2.0838522199e+02    1.1695609032e+02    1.5903450735e+02   -4.6958501416e+02    1.0216528483e+02    1.2800000000e+04    3.5234921459e-01    8.9437500000e-01
         6   -9.1770478654e+01    8.8277728911e+03   -2.0964309998e+02    1.1787262133e+02    1.5904523701e+02   -4.7085362182e+02    1.0216528483e+02    1.2800000000e+04    3.5259889478e-01    8.9419921875e-01
         7   -9.1607441183e+01    8.9198838255e+03   -2.1073419677e+02    1.1912675558e+02    1.5910338091e+02   -4.7200286251e+02    1.0216528483e+02    1.2800000000e+04    3.5253355751e-01    8.9435791016e-01
         8   -9.1151153758e+01    8.6935771315e+03   -2.1263557370e+02    1.2148441994e+02    1.5952476109e+02   -4.7432561962e+02    1.0216528483e+02    1.2800000000e+04    3.5254619968e-01    8.9335449219e-01
         9   -9.1330481787e+01    8.4580577643e+03   -2.0971943957e+02    1.1838895778e+02    1.5923795512e+02   -4.7112267952e+02    1.0216528483e+02    1.2800000000e+04    3.5307333888e-01    8.9471435547e-01
        10   -9.1077701282e+01    8.4487513380e+03   -2.0850868742e+02    1.1743098614e+02    1.5890539950e+02   -4.6957937175e+02    1.0216528483e+02    1.2800000000e+04    3.5283426998e-01    8.9400390625e-01
        11   -9.0692885629e+01    8.3322590353e+03   -2.0590251494e+02    1.1520962931e+02    1.5890031424e+02   -4.6696811401e+02    1.0216528483e+02    1.2800000000e+04    3.5251004604e-01    8.9438232422e-01
        12   -9.0818902708e+01    8.4768405875e+03   -2.0985756130e+02    1.1903865859e+02    1.5914974905e+02   -4.7117259518e+02    1.0216528483e+02    1.2800000000e+04    3.5280500901e-01    8.9411376953e-01
        13   -9.1093283725e+01    8.5195929551e+03   -2.1085498573e+02    1.1976170200e+02    1.5950898032e+02   -4.7252925087e+02    1.0216528483e+02    1.2800000000e+04    3.5249592294e-01    8.9408447266e-01
        14   -9.1029291755e+01    8.5398604477e+03   -2.0528070753e+02    1.1425141577e+02    1.5955012715e+02   -4.6699611951e+02    1.0216528483e+02    1.2800000000e+04    3.5234441062e-01    8.9505615234e-01
        15   -9.1669219721e+01    9.3681394199e+03   -2.1334461063e+02    1.2167539091e+02    1.5890865703e+02   -4.7441855249e+02    1.0216528483e+02    1.2800000000e+04    3.5296013454e-01    8.9457519531e-01
        16   -9.1004992777e+01    8.4186473816e+03   -2.0837188419e+02    1.1736689141e+02    1.5957938889e+02   -4.7011655791e+02    1.0216528483e+02    1.2800000000e+04    3.5274118078e-01    8.9445312500e-01
        17   -9.1353996727e+01    8.7410619833e+03   -2.1276254044e+02    1.2140854372e+02    1.6025495876e+02   -4.7518278404e+02    1.0216528483e+02    1.2800000000e+04    3.5257381674e-01    8.9350830078e-01
        18   -9.2247286463e+01    8.8195328714e+03   -2.1112379927e+02    1.1887651280e+02    1.6023791024e+02   -4.7352699433e+02    1.0216528483e+02    1.2800000000e+04    3.5252418393e-01    8.9418457031e-01
