#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             IonIon              BlockWeight         BlockCPU            AcceptRatio         
        25   -7.4679792538e+01    5.6274298059e+03   -1.5231245200e+02    7.7632659460e+01    6.2253201908e+01   -2.4822961524e+02    3.3663961334e+01    1.2800000000e+04    1.1117081852e-01    8.6480468750e-01
        26   -7.7125826666e+01    7.3669965509e+03   -1.5193975038e+02    7.4813923709e+01    6.2183736824e+01   -2.4778744853e+02    3.3663961334e+01    1.2800000000e+04    1.1121808504e-01    8.6666015625e-01
        27   -7.5775391294e+01    6.7864429545e+03   -1.5224462030e+02    7.6469229006e+01    6.2163425281e+01   -2.4807200692e+02    3.3663961334e+01    1.2800000000e+04    1.1111179571e-01    8.6413085938e-01
        28   -7.4175894536e+01    5.5669875773e+03   -1.5154750913e+02    7.7371614593e+01    6.2370896458e+01   -2.4758236692e+02    3.3663961334e+01    1.2800000000e+04    1.1112594426e-01    8.6438476562e-01
        29   -7.4808244313e+01    5.6448678131e+03   -1.4960732826e+02    7.4799083943e+01    6.2263310909e+01   -2.4553460050e+02    3.3663961334e+01    1.2800000000e+04    1.1113756346e-01    8.6454589844e-01
        30   -7.5467941160e+01    5.7550670992e+03   -1.5028981360e+02    7.4821872445e+01    6.2051573335e+01   -2.4600534827e+02    3.3663961334e+01    1.2800000000e+04    1.1111189578e-01    8.6393554687e-01
        31   -7.5085597037e+01    5.7001551177e+03   -1.5164335722e+02    7.6557760182e+01    6.2331721540e+01   -2.4763904009e+02    3.3663961334e+01    1.2800000000e+04    1.1120161027e-01    8.6541503906e-01
        32   -7.4807652707e+01    5.6572249801e+03   -1.5238109776e+02    7.7573445056e+01    6.2412330708e+01   -2.4845738980e+02    3.3663961334e+01    1.2800000000e+04    1.1114382603e-01    8.6521972656e-01
        33   -7.5935062375e+01    6.1147266027e+03   -1.5272776060e+02    7.6792698224e+01    6.2081445757e+01   -2.4847316769e+02    3.3663961334e+01    1.2800000000e+04    1.1114549793e-01    8.6437011719e-01
        34   -7.5726830564e+01    6.0995519563e+03   -1.5245882432e+02    7.6731993751e+01    6.2397539375e+01   -2.4852032502e+02    3.3663961334e+01    1.2800000000e+04    1.1110517560e-01    8.6375488281e-01
        35   -7.5924125997e+01    6.3527724360e+03   -1.5326202963e+02    7.7337903632e+01    6.2733320187e+01   -2.4965931115e+02    3.3663961334e+01    1.2800000000e+04    1.1113645171e-01    8.6482421875e-01
        36   -7.7640428001e+01    7.1045476573e+03   -1.5531546146e+02    7.7675033457e+01    6.2006139452e+01   -2.5098556224e+02    3.3663961334e+01    1.2800000000e+04    1.1119280308e-01    8.6591308594e-01
        37   -7.6964937737e+01    6.8370041371e+03   -1.5622160189e+02    7.9256664156e+01    6.2548892248e+01   -2.5243445547e+02    3.3663961334e+01    1.2800000000e+04    1.1116247307e-01    8.6446777344e-01
        38   -7.6411936070e+01    6.3435808728e+03   -1.5264796760e+02    7.6236031526e+01    6.1856278373e+01   -2.4816820730e+02    3.3663961334e+01    1.2800000000e+04    1.1111552992e-01    8.6380859375e-01
        39   -7.5342573772e+01    5.7445408061e+03   -1.5073678487e+02    7.5394211102e+01    6.2218478039e+01   -2.4661922425e+02    3.3663961334e+01    1.2800000000e+04    1.1113019790e-01    8.6472656250e-01
        40   -7.4680261592e+01    5.6390295984e+03   -1.5252058644e+02    7.7840324845e+01    6.2308874838e+01   -2.4849342261e+02    3.3663961334e+01    1.2800000000e+04    1.1112061378e-01    8.6482421875e-01
        41   -7.5314326775e+01    5.7825524927e+03   -1.4958236943e+02    7.4268042651e+01    6.2001707035e+01   -2.4524803779e+02    3.3663961334e+01    1.2800000000e+04    1.1125108499e-01    8.6617675781e-01
        42   -7.5108973517e+01    5.8047315535e+03   -1.5033954723e+02    7.5230573711e+01    6.2522485980e+01   -2.4652599454e+02    3.3663961334e+01    1.2800000000e+04    1.1119108874e-01    8.6488769531e-01
        43   -7.4960004832e+01    5.6757117414e+03   -1.5149904562e+02    7.6539040788e+01    6.2357851422e+01   -2.4752085838e+02    3.3663961334e+01    1.2800000000e+04    1.1106845842e-01    8.6302734375e-01
        44   -7.5585807770e+01    6.0702266391e+03   -1.5555008486e+02    7.9964277090e+01    6.2143821569e+01   -2.5135786776e+02    3.3663961334e+01    1.2800000000e+04    1.1114241190e-01    8.6427246094e-01
        45   -7.5580146190e+01    5.7867160265e+03   -1.5131714839e+02    7.5737002201e+01    6.2129656623e+01   -2.4711076635e+02    3.3663961334e+01    1.2800000000e+04    1.1116564488e-01    8.6458496094e-01
        46   -7.5123543740e+01    5.6852003119e+03   -1.4848974346e+02    7.3366199718e+01    6.2135148124e+01   -2.4428885292e+02    3.3663961334e+01    1.2800000000e+04    1.1116211009e-01    8.6500976562e-01
        47   -7.5057202020e+01    5.6805325784e+03   -1.5021179082e+02    7.5154588799e+01    6.1741201214e+01   -2.4561695337e+02    3.3663961334e+01    1.2800000000e+04    1.1112863326e-01    8.6458007813e-01
        48   -7.5461645892e+01    5.8580617186e+03   -1.5230743560e+02    7.6845789706e+01    6.2015172666e+01   -2.4798656960e+02    3.3663961334e+01    1.2800000000e+04    1.1107547664e-01    8.6361816406e-01
        49   -7.4878914834e+01    5.6512449778e+03   -1.4789012810e+02    7.3011213267e+01    6.2003246409e+01   -2.4355733584e+02    3.3663961334e+01    1.2800000000e+04    1.1130087766e-01    8.6690429688e-01
        50   -7.8534213560e+01    8.9652561336e+03   -1.5610595019e+02    7.7571736633e+01    6.2308888207e+01   -2.5207879973e+02    3.3663961334e+01    1.2800000000e+04    1.1120422800e-01    8.6545410156e-01
        51   -7.5470611365e+01    5.8032484038e+03   -1.5104620629e+02    7.5575594927e+01    6.2029700928e+01   -2.4673986856e+02    3.3663961334e+01    1.2800000000e+04    1.1119684570e-01    8.6520019531e-01
        52   -7.7167812464e+01    7.0744703873e+03   -1.5839404624e+02    8.1226233774e+01    6.2174526927e+01   -2.5423253450e+02    3.3663961334e+01    1.2800000000e+04    1.1103604918e-01    8.6168457031e-01
        53   -7.5235089382e+01    5.7721933586e+03   -1.5023062966e+02    7.4995540278e+01    6.1868477890e+01   -2.4576306888e+02    3.3663961334e+01    1.2800000000e+04    1.1112473268e-01    8.6451660156e-01
        54   -7.5191809854e+01    5.7367510467e+03   -1.5105082567e+02    7.5859015811e+01    6.2337393788e+01   -2.4705218079e+02    3.3663961334e+01    1.2800000000e+04    1.1116097471e-01    8.6487792969e-01
        55   -7.5254865386e+01    5.7553253575e+03   -1.4985440480e+02    7.4599539412e+01    6.2534833858e+01   -2.4605319999e+02    3.3663961334e+01    1.2800000000e+04    1.1112378075e-01    8.6485351563e-01
        56   -7.5835931463e+01    6.1135139748e+03   -1.5203342567e+02    7.6197494212e+01    6.1863793319e+01   -2.4756118033e+02    3.3663961334e+01    1.2800000000e+04    1.1113020309e-01    8.6527343750e-01
        57   -7.5735917052e+01    5.9785153836e+03   -1.5098943281e+02    7.5253515761e+01    6.2048638601e+01   -2.4670203275e+02    3.3663961334e+01    1.2800000000e+04    1.1118132979e-01    8.6468750000e-01
        58   -7.5219392072e+01    5.8298819614e+03   -1.5119787926e+02    7.5978487191e+01    6.1764293618e+01   -2.4662613421e+02    3.3663961334e+01    1.2800000000e+04    1.1113677166e-01    8.6434082031e-01
        59   -7.5875445391e+01    6.2427763328e+03   -1.5013259193e+02    7.4257146538e+01    6.1841245954e+01   -2.4563779922e+02    3.3663961334e+01    1.2800000000e+04    1.1114600428e-01    8.6446777344e-01
        60   -7.4945399602e+01    5.6819210635e+03   -1.4598512925e+02    7.1039729643e+01    6.1739092104e+01   -2.4138818268e+02    3.3663961334e+01    1.2800000000e+04    1.1125197263e-01    8.6647949219e-01
        61   -7.5131465023e+01    5.9739288830e+03   -1.4891529282e+02    7.3783827802e+01    6.1498569967e+01   -2.4407782413e+02    3.3663961334e+01    1.2800000000e+04    1.1115497184e-01    8.6407714844e-01
        62   -7.4891510131e+01    5.6560843665e+03   -1.5043670916e+02    7.5545199025e+01    6.2137281777e+01   -2.4623795227e+02    3.3663961334e+01    1.2800000000e+04    1.1115953796e-01    8.6497558594e-01
        63   -7.5086964054e+01    5.7131792274e+03   -1.5154173551e+02    7.6454771458e+01    6.2583352768e+01   -2.4778904961e+02    3.3663961334e+01    1.2800000000e+04    1.1111179612e-01    8.6361328125e-01
        64   -7.5274075276e+01    5.7337103244e+03   -1.5077131613e+02    7.5497240850e+01    6.2348996846e+01   -2.4678427431e+02    3.3663961334e+01    1.2800000000e+04    1.1117799055e-01    8.6543945313e-01
        65   -7.4904527512e+01    5.6787783704e+03   -1.4936576386e+02    7.4461236345e+01    6.2607784618e+01   -2.4563750981e+02    3.3663961334e+01    1.2800000000e+04    1.1106973986e-01    8.6529785156e-01
        66   -7.5617530699e+01    5.9043256571e+03   -1.5475310830e+02    7.9135577603e+01    6.2211038379e+01   -2.5062810801e+02    3.3663961334e+01    1.2800000000e+04    1.1104849829e-01    8.6454101562e-01
        67   -7.5096835670e+01    5.7071057701e+03   -1.5054309237e+02    7.5446256705e+01    6.2167311996e+01   -2.4637436571e+02    3.3663961334e+01    1.2800000000e+04    1.1101174428e-01    8.6354980469e-01
        68   -7.5309827880e+01    5.7407618890e+03   -1.5037104608e+02    7.5061218199e+01    6.1924418509e+01   -2.4595942592e+02    3.3663961334e+01    1.2800000000e+04    1.1104573242e-01    8.6477050781e-01
        69   -7.4980038762e+01    5.6737378629e+03   -1.5185771932e+02    7.6877680557e+01    6.2219933849e+01   -2.4774161450e+02    3.3663961334e+01    1.2800000000e+04    1.1103609049e-01    8.6514160156e-01
        70   -7.4921460053e+01    5.7357827007e+03   -1.5115794656e+02    7.6236486506e+01    6.2097906661e+01   -2.4691981455e+02    3.3663961334e+01    1.2800000000e+04    1.1099839635e-01    8.6467285156e-01
        71   -7.5182819413e+01    5.7566491305e+03   -1.5460887347e+02    7.9426054055e+01    6.2586858374e+01   -2.5085969318e+02    3.3663961334e+01    1.2800000000e+04    1.1097724778e-01    8.6404296875e-01
        72   -7.5485950795e+01    6.0453376469e+03   -1.5292929147e+02    7.7443340672e+01    6.2818568223e+01   -2.4941182102e+02    3.3663961334e+01    1.2800000000e+04    1.1097696054e-01    8.6288574219e-01
        73   -7.5373365628e+01    5.7782099837e+03   -1.5206680534e+02    7.6693439716e+01    6.2266872278e+01   -2.4799763896e+02    3.3663961334e+01    1.2800000000e+04    1.1097176999e-01    8.6403808594e-01
        74   -7.5586693382e+01    5.7844374963e+03   -1.5323588173e+02    7.7649188344e+01    6.2617855414e+01   -2.4951769847e+02    3.3663961334e+01    1.2800000000e+04    1.1090870507e-01    8.6225097656e-01
        75   -7.5493122841e+01    5.7676009866e+03   -1.5327259803e+02    7.7779475190e+01    6.2055681893e+01   -2.4899224126e+02    3.3663961334e+01    1.2800000000e+04    1.1102713621e-01    8.6432128906e-01
        76   -7.5206730228e+01    5.7608086845e+03   -1.5479606145e+02    7.9589331220e+01    6.2424393274e+01   -2.5088441606e+02    3.3663961334e+01    1.2800000000e+04    1.1105188359e-01    8.6456054687e-01
        77   -7.5304414218e+01    6.0965737336e+03   -1.5198749051e+02    7.6683076295e+01    6.2725531441e+01   -2.4837698329e+02    3.3663961334e+01    1.2800000000e+04    1.1102269263e-01    8.6431640625e-01
        78   -7.5538950210e+01    5.8920504400e+03   -1.5478806640e+02    7.9249116186e+01    6.2383186856e+01   -2.5083521459e+02    3.3663961334e+01    1.2800000000e+04    1.1098978414e-01    8.6366699219e-01
        79   -7.5067286580e+01    5.7471741169e+03   -1.4974488829e+02    7.4677601714e+01    6.2399862572e+01   -2.4580871220e+02    3.3663961334e+01    1.2800000000e+04    1.1105991355e-01    8.6503906250e-01
        80   -7.5145138725e+01    6.1201803180e+03   -1.5273017371e+02    7.7585034983e+01    6.2529674801e+01   -2.4892380984e+02    3.3663961334e+01    1.2800000000e+04    1.1101971973e-01    8.6437011719e-01
        81   -7.4892674135e+01    5.6592082254e+03   -1.5117721743e+02    7.6284543300e+01    6.2327296086e+01   -2.4716847485e+02    3.3663961334e+01    1.2800000000e+04    1.1099356332e-01    8.6383789063e-01
        82   -7.5744040090e+01    6.0501654922e+03   -1.5003607703e+02    7.4292036944e+01    6.2423262911e+01   -2.4612330128e+02    3.3663961334e+01    1.2800000000e+04    1.1104533686e-01    8.6490234375e-01
        83   -7.4413697612e+01    5.5824199705e+03   -1.4895956796e+02    7.4545870346e+01    6.2255466373e+01   -2.4487899566e+02    3.3663961334e+01    1.2800000000e+04    1.1104936887e-01    8.6591308594e-01
        84   -7.5709864840e+01    6.6896172747e+03   -1.5330448913e+02    7.7594624292e+01    6.3113463936e+01   -2.5008191440e+02    3.3663961334e+01    1.2800000000e+04    1.1096676090e-01    8.6279785156e-01
        85   -7.6304878198e+01    7.1775639292e+03   -1.5183671643e+02    7.5531838228e+01    6.2325697023e+01   -2.4782637478e+02    3.3663961334e+01    1.2800000000e+04    1.1103608014e-01    8.6466308594e-01
        86   -7.5433513577e+01    5.9616762752e+03   -1.5038392131e+02    7.4950407730e+01    6.2225971252e+01   -2.4627385389e+02    3.3663961334e+01    1.2800000000e+04    1.1110993544e-01    8.6676757812e-01
        87   -7.5807179301e+01    6.0455906154e+03   -1.5364783387e+02    7.7840654567e+01    6.2292588198e+01   -2.4960438340e+02    3.3663961334e+01    1.2800000000e+04    1.1102889450e-01    8.6479492187e-01
        88   -7.6033216402e+01    6.2448541332e+03   -1.5348739652e+02    7.7454180120e+01    6.2618234866e+01   -2.4976959272e+02    3.3663961334e+01    1.2800000000e+04    1.1099583551e-01    8.6426757812e-01
